Name,Position,Rating,Year,DVOA,QBR,DVAR
D.Anderson,QB,87,2009,-43.60%,16.6,-399
M.Hasselbeck,QB,91,2009,-24.80%,26.4,-468
M.Cassel,QB,76,2009,-29.30%,30.9,-619
J.Russell,QB,83,2009,-62.00%,11.7,-834
T.Brady,QB,97,2010,46.70%,76.9,"1,918"
P.Rivers,QB,89,2010,27.90%,63.4,"1,430"
P.Manning,QB,99,2010,19.00%,69,"1,400"
A.Rodgers,QB,86,2010,26.90%,69.4,"1,288"
M.Ryan,QB,85,2010,18.00%,69.7,"1,120"
D.Brees,QB,96,2010,13.30%,65.4,"1,093"
B.Roethlisberger,QB,93,2010,31.10%,64.2,"1,061"
M.Schaub,QB,77,2010,12.20%,57.9,930
J.Freeman,QB,73,2010,13.90%,64.6,816
C.Palmer,QB,88,2010,7.10%,43.5,739
J.Flacco,QB,81,2010,9.40%,60.4,695
K.Orton,QB,74,2010,8.30%,48,663
M.Cassel,QB,83,2010,8.40%,52.3,589
E.Manning,QB,87,2010,4.20%,65.5,547
S.Hill,QB,69,2010,6.70%,41.8,486
C.Henne,QB,66,2010,1.00%,42.5,402
V.Young,QB,68,2010,20.50%,70.6,353
T.Romo,QB,87,2010,13.30%,56.4,334
M.Sanchez,QB,78,2010,-4.30%,48.2,234
D.Garrard,QB,78,2010,-1.80%,60.3,227
K.Collins,QB,79,2010,-3.20%,58.7,150
D.McNabb,QB,90,2010,-6.90%,38.9,133
M.Stafford,QB,79,2010,3.00%,58.1,91
J.Cutler,QB,87,2010,-8.50%,48.5,81
J.Campbell,QB,77,2010,-10.10%,48.5,23
K.Kolb,QB,68,2010,-10.20%,35.7,12
A.Smith,QB,67,2010,-12.20%,40.9,-26
M.Hasselbeck,QB,84,2010,-16.80%,40.4,-173
D.Anderson,QB,70,2010,-25.40%,35.7,-308
J.Delhomme,QB,80,2010,-42.70%,26.5,-313
M.Moore,QB,55,2010,-42.80%,25,-324
T.Edwards,QB,76,2010,-58.30%,21.8,-335
D.Brees,QB,99,2011,38.30%,84,"2,259"
A.Rodgers,QB,94,2011,46.60%,86.2,"2,059"
T.Brady,QB,95,2011,35.40%,72.7,"1,997"
T.Romo,QB,90,2011,26.80%,71.4,"1,344"
M.Stafford,QB,80,2011,14.90%,65.5,"1,170"
M.Ryan,QB,86,2011,18.70%,69,"1,118"
P.Rivers,QB,94,2011,17.00%,62.7,"1,118"
E.Manning,QB,89,2011,16.20%,59.4,"1,109"
B.Roethlisberger,QB,88,2011,13.30%,63.6,867
M.Schaub,QB,89,2011,24.40%,67.4,701
M.Vick,QB,73,2011,11.60%,64.4,652
A.Smith,QB,77,2011,3.10%,46.1,442
J.Flacco,QB,87,2011,0.00%,59.6,409
M.Hasselbeck,QB,79,2011,0.50%,62.6,390
J.Campbell,QB,83,2011,19.80%,54.3,340
C.Palmer,QB,87,2011,2.50%,62.6,296
T.Jackson,QB,71,2011,-6.00%,37.7,161
J.Cutler,QB,83,2011,-3.50%,59.7,157
M.Moore,QB,76,2011,-5.70%,56.7,135
K.Orton,QB,80,2011,-5.40%,49.8,97
D.McNabb,QB,89,2011,-4.80%,44.3,70
C.Henne,QB,79,2011,-2.70%,63.4,67
K.Clemens,QB,70,2011,-12.00%,25.2,-6
K.Collins,QB,72,2011,-18.90%,13.8,-50
M.Sanchez,QB,82,2011,-12.50%,33.6,-53
V.Young,QB,79,2011,-21.70%,38.4,-83
J.Freeman,QB,77,2011,-13.70%,45.3,-96
K.Kolb,QB,75,2011,-18.50%,34.4,-133
C.McCoy,QB,71,2011,-15.20%,40,-133
T.Tebow,QB,70,2011,-22.70%,29.4,-221
M.Cassel,QB,78,2011,-25.90%,50.7,-277
S.Bradford,QB,80,2011,-24.20%,28.6,-329
T.Brady,QB,99,2012,35.10%,77.1,"2,035"
D.Brees,QB,96,2012,19.80%,67.9,"1,441"
A.Rodgers,QB,98,2012,23.40%,72.5,"1,395"
M.Ryan,QB,90,2012,16.50%,74.5,"1,196"
M.Stafford,QB,80,2012,12.20%,58.9,"1,160"
T.Romo,QB,88,2012,14.80%,62.7,"1,156"
B.Roethlisberger,QB,94,2012,13.20%,62.8,761
E.Manning,QB,87,2012,9.00%,67.4,753
M.Schaub,QB,88,2012,7.50%,62.6,697
C.Kaepernick,QB,70,2012,25.80%,76.8,555
C.Newton,QB,77,2012,2.00%,54.2,422
A.Smith,QB,75,2012,14.80%,70.1,418
S.Bradford,QB,85,2012,-0.80%,51.6,388
J.Flacco,QB,88,2012,-1.30%,46.8,358
A.Dalton,QB,71,2012,-5.90%,50.7,194
C.Ponder,QB,73,2012,-6.10%,53.8,173
P.Rivers,QB,96,2012,-7.30%,40.6,138
R.Fitzpatrick,QB,81,2012,-7.60%,45.8,120
J.Freeman,QB,87,2012,-8.00%,53.1,118
M.Vick,QB,93,2012,-14.40%,46,-78
J.Cutler,QB,85,2012,-13.80%,51.9,-81
J.Locker,QB,74,2012,-23.60%,48.1,-265
B.Gabbert,QB,75,2012,-25.30%,40.9,-268
C.Henne,QB,77,2012,-24.60%,29.9,-286
M.Cassel,QB,86,2012,-30.40%,36.5,-353
B.Quinn,QB,72,2012,-43.80%,27.4,-440
M.Sanchez,QB,83,2012,-29.40%,23.4,-593
P.Manning,QB,93,2013,43.20%,679,"2,475"
P.Rivers,QB,92,2013,34.80%,575,"1,799"
D.Brees,QB,98,2013,26.90%,687,"1,701"
M.Ryan,QB,89,2013,13.30%,695,"1,124"
N.Foles,QB,65,2013,35.60%,347,"1,011"
T.Brady,QB,98,2013,10.90%,665,979
T.Romo,QB,90,2013,11.50%,572,839
C.Kaepernick,QB,70,2013,16.60%,456,791
R.Wilson,QB,70,2013,15.60%,453,770
A.Rodgers,QB,99,2013,25.40%,310,740
B.Roethlisberger,QB,95,2013,6.60%,621,724
M.Stafford,QB,91,2013,4.90%,658,690
A.Luck,QB,84,2013,4.60%,606,650
C.Palmer,QB,84,2013,2.70%,614,547
A.Dalton,QB,83,2013,2.30%,615,541
C.Newton,QB,89,2013,1.70%,513,421
J.Cutler,QB,87,2013,5.50%,371,392
S.Bradford,QB,80,2013,5.20%,277,304
A.Smith,QB,83,2013,-3.70%,545,262
R.Fitzpatrick,QB,82,2013,-3.60%,369,179
M.Cassel,QB,80,2013,-5.90%,271,92
J.Locker,QB,75,2013,-5.70%,199,69
R.Tannehill,QB,74,2013,-9.80%,643,54
M.Vick,QB,89,2013,-6.90%,157,40
J.Campbell,QB,79,2013,-12.20%,332,-24
C.Ponder,QB,75,2013,-13.50%,267,-42
R.Griffin,QB,83,2013,-13.10%,495,-60
M.Schaub,QB,89,2013,-16.20%,380,-123
J.Freeman,QB,82,2013,-29.70%,156,-176
C.Keenum,QB,64,2013,-22.40%,270,-191
M.Flynn,QB,79,2013,-24.50%,225,-196
J.Flacco,QB,88,2013,-18.10%,661,-296
E.Manning,QB,97,2013,-20.20%,590,-335
T.Pryor,QB,65,2013,-31.60%,304,-388
B.Weeden,QB,74,2013,-36.10%,293,-443
A.Luck,QB,88,2014,26.80%,80.7,451
M.Ryan,QB,94,2014,31.80%,79.9,421
P.Rivers,QB,84,2014,31.80%,82.5,386
J.Flacco,QB,93,2014,25.90%,76.2,383
P.Manning,QB,97,2014,31.40%,85.7,307
A.Rodgers,QB,98,2014,21.30%,82.1,305
D.Brees,QB,96,2014,16.20%,74.4,298
M.Stafford,QB,85,2014,13.30%,77,240
A.Dalton,QB,84,2014,17.40%,56.6,157
B.Hoyer,QB,71,2014,14.80%,72.1,157
A.Smith,QB,87,2014,5.80%,49,153
B.Roethlisberger,QB,92,2014,4.40%,63.4,144
T.Romo,QB,88,2014,5.00%,80.8,140
J.Cutler,QB,86,2014,0.90%,66,133
R.Wilson,QB,89,2014,7.60%,54.2,118
E.Manning,QB,91,2014,0.00%,80,115
D.Anderson,QB,73,2014,20.60%,89.3,105
C.Newton,QB,89,2014,5.40%,57.7,102
C.Kaepernick,QB,89,2014,-2.20%,58.3,77
N.Foles,QB,75,2014,-4.30%,62.3,73
R.Fitzpatrick,QB,76,2014,-1.80%,55.4,72
M.Glennon,QB,66,2014,-6.20%,72,19
R.Tannehill,QB,81,2014,-17.50%,42.3,-69
J.Locker,QB,77,2014,-22.30%,39.7,-77
M.Cassel,QB,76,2014,-40.60%,28.9,-146
T.Brady,QB,97,2014,-30.20%,46.5,-186
G.Smith,QB,73,2014,-31.20%,27.6,-187
C.Henne,QB,74,2014,-55.90%,16.1,-258
