,0,1,2,3,4,5,6,7,8,9
255,R.Fitzpatrick,QB,80,2015,-7.4%,49.7,34,278,2,0
256,T.Brady,QB,93,2015,-13.0%,55.3,-22,398,2,0
257,J.Locker,QB,75,2015,-16.3%,60.7,-40,500,3,2
258,R.Tannehill,QB,84,2015,-15.7%,42.3,-49,419,3,2
259,D.Carr,QB,74,2015,-19.1%,47.9,-70,151,2,0
260,B.Bortles,QB,78,2015,-35.7%,38.0,-158,,,
261,M.Cassel,QB,78,2015,-43.1%,28.9,-158,372,3,4
262,G.Smith,QB,78,2015,-30.7%,24.3,-196,288,2,1
263,J.McCown,QB,83,2015,-64.1%,47.1,-241,268,2,3
264,C.Henne,QB,75,2015,-55.7%,16.1,-257,459,3,1
